Feat_0,Feat_1,Feat_2,Feat_3,Feat_4,Feat_5,Feat_6,Feat_7,Feat_8,Feat_9,Feat_10,Feat_11,Feat_12,Feat_13,Feat_14,Feat_15,Feat_16,Feat_17,Feat_18,Feat_19,Feat_20,Feat_21,Feat_22,Feat_23,Feat_24,Feat_25,Feat_26,Feat_27,Feat_28,Feat_29,Feat_30,Feat_31,Feat_32,Feat_33,Feat_34,Feat_35,Feat_36,Feat_37,Feat_38,Feat_39,y_true,y_true_4cls,dataset,subjectID
0.18652262,0.57305145,-0.13035181,-0.15649149,0.11285011,0.06202948,0.10600343,0.9675272,0.1824162,0.14289372,0.03378339,0.020457534,0.09255002,0.06443077,0.1844365,0.26537922,0.7238648,0.81366533,0.117624864,-0.054858305,0.26986647,0.2288499,0.67791885,1.4298974,-0.008096191,-0.019720282,-0.034103557,-0.005520084,0.0038400025,-0.009521514,0.011011757,-0.013494306,1.5380113,3.511791,0.31286973,0.000173229,2.195218,4.306181,0.21015467,0.0001860663,1.0,3,omnia_park,43
0.0,0.022698648,0.14851564,0.4322389,0.13293894,0.0,0.5424487,0.0,0.0,0.025015282,0.16878751,0.31753722,0.113523126,0.0,0.09470652,0.0,0.0,0.06416788,0.42208654,0.8056819,0.31036422,0.0,0.6458607,0.0,0.0,-0.010533659,0.060689393,0.15572008,-0.024424622,0.0,0.023638656,0.0,0.18140107,1.071637,0.42466548,0.00031283594,0.19898544,0.5569626,0.35008433,0.00026211972,0.0,0,wearpd,nls157
0.19688413,-0.04777857,1.1188599,0.82967937,-0.11860262,0.048678797,0.28380153,0.0023571423,0.046870615,-0.02478338,0.14203489,0.11469103,-0.028603952,0.028416917,0.06887677,-0.017774548,0.2991238,-0.08516062,1.3478034,0.96055835,-0.13431224,0.08780045,0.48650247,0.0020224147,0.0063784206,0.008547966,0.021514248,0.02544444,-0.00079353864,-0.00074916857,0.0038372537,0.008401999,0.30279908,1.2282633,0.23788737,0.00025519298,0.5669486,1.531235,0.20157872,0.00036952595,0.0,0,kiel,93
0.03507054,0.019159976,0.024439385,0.019899128,0.02299889,0.3982944,0.0,0.6146431,0.06074644,0.050692536,0.064660534,0.05264815,0.060849342,0.24482408,0.0,0.40433377,0.14137995,0.15327981,0.19551508,0.15919302,0.18399112,0.6644349,0.0,1.2348343,-0.00018296497,-0.005474279,-0.016292924,-0.013266085,-0.015332594,0.0006700754,0.0,-0.01975364,2.1197324,9.450703,0.27210295,0.00026250002,3.2416673,22.431726,0.2038763,0.00028849643,0.0,0,wearpd,nls170
0.065984376,0.0,0.8655879,0.43252692,0.0,0.011741904,0.2068892,0.0,0.041542627,0.0,0.11340168,0.14756453,0.0,0.026255695,0.10532509,0.0,0.12792392,0.0,0.96193594,0.57525253,0.0,0.07045142,0.36097246,0.0,0.018737406,0.0,0.05349201,0.07999456,0.0,-0.010064489,0.05818473,0.0,0.51667994,3.2853625,0.16466722,8.2704384e-05,0.7268158,5.061907,0.12667134,9.813223e-05,0.0,0,wearpd,wpd015
0.0963821,0.16001171,0.43106085,0.57066697,0.067248836,0.011909003,0.26354277,0.22405876,0.08213061,0.06787643,0.0910706,0.10227197,0.07712004,0.007197203,0.1258876,0.12808569,0.28072667,0.27802664,0.58274007,0.7135538,0.2491883,0.024962567,0.53666186,0.36613002,0.012527202,-0.010783247,-0.005146302,-0.002730421,0.021368757,-0.0018174517,0.033797666,-0.020428812,0.4687356,16.72838,0.22611222,0.00026160217,0.75313103,25.291782,0.15773171,0.00043392877,1.0,2,kiel,21
0.0,0.15359165,0.0,0.0,0.0704859,0.021622451,0.0,0.53241366,0.0,0.05619113,0.0,0.0,0.056192625,0.028983466,0.0,0.12676176,0.0,0.26989567,0.0,0.0,0.14467679,0.08458618,0.0,0.7677297,0.0,0.016011937,0.0,0.0,-0.011698729,0.0026294547,0.0,0.013491181,0.25091723,1.4427987,0.42089853,4.869148e-05,0.32855174,1.8957293,0.2792665,6.3252985e-05,0.0,0,wearpd,nls175
0.26525807,0.7270546,0.0032955746,0.084636234,0.112641826,0.007964395,0.3091953,0.9838125,0.23353845,0.36443537,0.008072476,0.2073156,0.2004027,0.018176798,0.50059575,0.6413643,0.73072976,1.2921374,0.023069022,0.59245366,0.56612647,0.05239801,1.283606,1.579976,0.058499362,-0.085768186,0.002471681,0.06347717,0.060656406,-0.005494331,0.13752922,-0.12043838,0.9403268,24.610518,0.265106,0.00010989931,0.9591355,38.79616,0.13249657,0.00020170945,0.0,0,wearpd,wpd019
0.22985408,0.0031255332,0.69233996,0.04872107,0.0,0.53643876,0.01903099,0.23028056,0.11624129,0.008269383,0.35349986,0.12890384,0.0,0.31809154,0.050351266,0.15635067,0.3650646,0.025004266,1.321208,0.38976857,0.0,0.77812976,0.15224792,0.41692588,0.018368779,-0.00029766985,0.059118204,0.032480713,0.0,-0.046177905,0.012687327,-0.013379253,0.5930341,0.8002042,0.15971471,0.00012114752,0.87732023,1.3039782,0.11438431,0.00014941013,0.0,0,wearpd,wpd008
-0.10391493,-0.19196187,0.08377562,-0.13157691,-0.017720053,0.42318287,-0.15771621,0.22605594,-0.04216477,-0.03952511,0.09726222,-0.03946146,-0.024212796,0.16514568,-0.057881836,0.16476175,-0.22868733,-0.20680645,0.32562354,-0.2031972,-0.0966316,0.59859824,-0.2680043,0.52168196,-0.010673848,0.010016496,0.019380007,-0.02143094,0.007992878,-0.016013876,-0.01414886,-0.04176763,0.29556742,4.2840767,0.18503903,0.00014522937,1.193135,9.762131,0.14058542,0.00019760852,1.0,2,omnia_park,16
